Company,Person_Name,Title,Niche,Source_URL,Still_At_Company,Company_Active,Niche_Confirmed,Quality_Score,Pass_Fail,Disqualification_Reason
Riverlane,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://www.riverlane.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — quantum OS and error correction,2,PASS — find person in Phase 3,
Riverlane,Steve Brierley,CEO,Quantum-Classical Hybrid Infrastructure,https://riverlane.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — quantum OS development,3,PASS,
Rohde & Schwarz Quantum,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://rohde-schwarz.com,UNKNOWN,ACTIVE 2026,CONFIRMED — control electronics/analyzers,2,PASS — find person in Phase 3,
Samsung SAIT Quantum,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://samsung.com,UNKNOWN,ACTIVE 2026,CONFIRMED — advanced materials for qubits,2,PASS — find person in Phase 3,
Single Quantum Detectors,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://singlequantum.com,UNKNOWN,ACTIVE 2026,CONFIRMED — SNSPD sensors,2,PASS — find person in Phase 3,
Sony Quantum Science,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://sony.com,UNKNOWN,ACTIVE 2025,CONFIRMED — quantum image sensors,2,PASS — find person in Phase 3,
Tektronix Quantum,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://tek.com,UNKNOWN,ACTIVE 2025,CONFIRMED — measurement solutions for QC,2,PASS — find person in Phase 3,
Teradyne Quantum Test,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://teradyne.com,UNKNOWN,ACTIVE 2025,CONFIRMED — IC test for quantum chips,2,PASS — find person in Phase 3,
Tokyo Electron Quantum,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://tel.com,UNKNOWN,ACTIVE 2026,CONFIRMED — fab equipment for superconductivity,2,PASS — find person in Phase 3,
Zurich Instruments,UNKNOWN,Leadership,Quantum-Classical Hybrid Infrastructure,https://www.zhinst.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — control electronics (Rohde & Schwarz div),2,PASS — find person in Phase 3,
AOSense,UNKNOWN,Leadership,Subsurface and Underground Quantum Sensing,https://aosense.com,UNKNOWN — no person name,ACTIVE 2024,CONFIRMED — atom interferometry sensors,2,PASS — find person in Phase 3,
Delta g Sensing,Andrew Whitworth,CTO,Subsurface and Underground Quantum Sensing,https://deltag.co.uk,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — gravity sensor spin-out,3,PASS,
Gravitilab,UNKNOWN,Co-Founder / CEO,Subsurface and Underground Quantum Sensing,https://gravitilab.com,UNKNOWN — no person name in Phase 1,ACTIVE 2025,CONFIRMED — quantum gravity gradiometers,2,PASS — find person in Phase 3,
Infleqtion,Victor Colussi,Principal Investigator,Subsurface and Underground Quantum Sensing,https://infleqtion.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — commercial quantum software/sensing,3,PASS,
Intelligent Fiber Optic Systems,Mahmut Sami Kavrik,Principal Investigator,Subsurface and Underground Quantum Sensing,https://ifos.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — subsurface fiber quantum sensing,2,PASS,
Muquans,UNKNOWN,Leadership,Subsurface and Underground Quantum Sensing,https://www.muquans.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — commercial quantum gravimeters (Exail sub),2,PASS — find person in Phase 3,
Nomad Atomics,UNKNOWN,Leadership,Subsurface and Underground Quantum Sensing,https://www.nomadatomics.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — field-deployable quantum gravimeters,2,PASS — find person in Phase 3,
Nomad Atomics,Kyle Hardman,CEO,Subsurface and Underground Quantum Sensing,https://nomadatomics.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — sensor instrumentation for underground,3,PASS,
ODMR Technologies,Andrejs Jarmola,Principal Investigator,Subsurface and Underground Quantum Sensing,https://odmrtechnologies.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — NV-diamond quantum sensing for geology,3,PASS,
PAGE Technologies,UNKNOWN,Leadership,Subsurface and Underground Quantum Sensing,https://pagetech.com,UNKNOWN — no person name in Phase 1,ACTIVE 2024,CONFIRMED — commercial subsurface sensing,2,PASS — find person in Phase 3,
Rydberg Technologies,UNKNOWN,Leadership,Subsurface and Underground Quantum Sensing,https://rydbergtechnologies.com,UNKNOWN — no person name,ACTIVE 2024,CONFIRMED — Rydberg atom sensors for RF/sensing,2,PASS — find person in Phase 3,
SBQuantum,David Roy-Guay,CEO,Subsurface and Underground Quantum Sensing,https://sbquantum.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — vector magnetometers for mining,3,PASS,
SEG International,UNKNOWN,Leadership,Subsurface and Underground Quantum Sensing,https://seg.org,UNKNOWN,ACTIVE 2025,MISALIGNED — event,1,FAIL,Scientific society meeting.
SPIE Photonics West,UNKNOWN,Leadership,Subsurface and Underground Quantum Sensing,https://spie.org,UNKNOWN,ACTIVE 2025,MISALIGNED — event,1,FAIL,Conference entity.
Silicon Microgravity,Frank Robinson,CEO,Subsurface and Underground Quantum Sensing,https://siliconmicrogravity.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — MEMS and quantum gravity sensors,3,PASS,
Vector Atomic,UNKNOWN,Leadership,Subsurface and Underground Quantum Sensing,https://www.vectoratomic.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — atomic clocks and gravimeters,2,PASS — find person in Phase 3,
iXAtom,UNKNOWN,Leadership,Subsurface and Underground Quantum Sensing,https://www.exail.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — quantum sensors for navigation,2,PASS — find person in Phase 3,
